	Cluster_0	Cluster_1	Cluster_2
AKR1A1	1	1	1
AKR1B1	1	1	1
AKR1B10	0.338235	0.305344	0.362637
AKR1C1	0.95	0.870229	0.967033
AKR1C2	0.441176	0.534351	0.417582
AKR1C3	1	1	1
AKR1C4	0.376471	0.419847	0.32967
AKR1CL1	0.220588	0.305344	0.153846
AKR1D1	0.352941	0.40458	0.296703
AKR1E2	0.308824	0.290076	0.0989011
AKR7A2	1	1	1
AKR7A2P1	0.135294	0.198473	0.10989
AKR7A3	1	1	1
AKT1	1	1	1
AKT1S1	0.767647	0.732824	0.758242
AKT2	0.847059	0.816794	0.835165
AKT3	0.444118	0.389313	0.450549
AKTIP	1	1	1
ALAD	0.0852941	0.114504	0.021978
ALAS1	0.923529	0.931298	0.945055
ALAS2	0.214706	0.152672	0.197802
ALB	0.738235	0.687023	0.846154
ALCAM	1	1	1
ALDH18A1	1	1	1
ALDH1A1	1	1	1
ALDH1A2	0.979412	0.946565	1
ALDH1A3	1	0.961832	1
ALDH1L1	0.505882	0.206107	0.725275
ALDH1L2	0.941176	0.801527	0.989011
ALDH2	1	1	1
ALDH3A1	0.323529	0.366412	0.285714
ALDH3A2	1	1	1
ALDH3B1	0.997059	1	1
ALDH3B2	0.452941	0.282443	0.516484
ALDH4A1	0.994118	1	1
ALDH5A1	0.988235	1	0.978022
ALDH6A1	1	1	1
ALDH7A1	1	1	1
ALDH8A1	0.123529	0.152672	0.0879121
ALDH9A1	1	1	1
ALDOA	1	1	1
ALDOB	0.988235	1	0.989011
ALDOC	1	1	1
ALG1	0.997059	1	1
ALG10B	0.952941	0.885496	0.967033
ALG11	1	1	1
ALG12	0.988235	1	0.978022
ALG13	1	0.992366	1
ALG14	1	1	1
ALG1L	0.752941	0.725191	0.813187
ALG2	0.994118	0.992366	0.978022
ALG3	1	1	1
ALG5	1	1	1
ALG6	1	1	1
ALG8	1	1	1
ALG9	1	1	1
ALK	0.608824	0.610687	0.637363
ALKBH1	1	1	1
ALKBH2	1	1	1
ALKBH3	1	1	1
ALKBH4	1	1	1
ALKBH5	1	1	1
ALKBH6	1	1	1
ALKBH7	1	1	1
ALLC	0.111765	0.137405	0.0549451
ALMS1	1	1	1
ALOX12	0.111765	0.129771	0.0989011
ALOX12B	0.211765	0.229008	0.120879
ALOX15	0.211765	0.267176	0.197802
ALOX15B	0.632353	0.519084	0.802198
ALOX5	1	1	1
ALOX5AP	1	1	1
ALOXE3	0.4	0.564885	0.395604
ALPI	0.673529	0.679389	0.659341
ALPK2	0.923529	0.900763	0.989011
ALPK3	0.161765	0.160305	0.142857
ALPL	1	1	1
ALS2	1	1	1
ALS2CL	0.285294	0.312977	0.197802
ALS2CR11	0.152941	0.221374	0.120879
ALS2CR12	0.232353	0.137405	0.263736
ALX1	0.0852941	0.129771	0.0879121
ALX3	0.379412	0.351145	0.428571
ALX4	0.0647059	0.0534351	0.0879121
ALYREF	1	1	1
AMACR	1	1	1
AMBN	0.0382353	0.0458015	0.043956
AMBP	0.305882	0.312977	0.230769
AMBRA1	0.820588	0.763359	0.945055
AMD1	1	1	1
AMDHD1	0.847059	0.839695	0.945055
AMDHD2	1	1	1
AMELX	0.132353	0.152672	0.0659341
AMELY	0.438235	0.496183	0.274725
AMER1	1	1	1
AMER2	0.308824	0.267176	0.230769
AMER3	0.105882	0.129771	0.10989
AMFR	1	1	1
AMH	0.635294	0.557252	0.692308
AMHR2	0.367647	0.29771	0.483516
AMICA1	1	0.984733	0.989011
AMIGO1	0.717647	0.70229	0.89011
AMIGO3	0.814706	0.793893	0.846154
AMMECR1	0.988235	0.977099	1
AMMECR1L	1	1	1
AMN	0.226471	0.320611	0.175824
AMN1	0.811765	0.877863	0.934066
AMOT	1	1	1
AMOTL1	0.861765	0.877863	0.758242
AMOTL2	0.505882	0.328244	0.714286
AMPD1	0.558824	0.320611	0.681319
AMPD2	0.105882	0.0534351	0.142857
AMPD3	0.176471	0.305344	0.142857
AMPH	0.964706	0.916031	1
AMT	1	1	1
AMTN	0.167647	0.114504	0.0879121
AMY1A	1	1	1
AMY2A	0.344118	0.450382	0.351648
AMY2B	0.179412	0.183206	0.263736
AMZ2	1	1	1
AMZ2P1	0.335294	0.458015	0.252747
ANAPC1	1	1	1
ANAPC10	1	1	1
ANAPC11	0.738235	0.625954	0.802198
ANAPC13	1	1	1
ANAPC15	1	1	1
ANAPC16	1	1	1
ANAPC2	0.808824	0.908397	0.813187
ANAPC4	1	1	1
ANAPC5	1	1	1
ANAPC7	1	1	1
ANG	1	1	1
ANGEL1	1	1	1
ANGEL2	1	1	1
ANGPT1	0.991176	0.954198	1
ANGPT2	1	1	1
ANGPT4	0.05	0.0610687	0.0989011
ANGPTL1	0.155882	0.0839695	0.197802
ANGPTL2	1	1	1
ANGPTL3	0.0441176	0.0534351	0.0769231
ANGPTL4	0.858824	0.679389	0.923077
ANGPTL5	0.0911765	0.122137	0.043956
ANGPTL6	0.55	0.480916	0.593407
ANGPTL7	0.497059	0.473282	0.483516
ANK1	0.364706	0.328244	0.373626
ANK2	0.417647	0.206107	0.615385
ANK3	0.95	0.931298	0.978022
ANKAR	1	0.992366	1
ANKDD1B	0.258824	0.343511	0.241758
ANKFN1	0.173529	0.10687	0.164835
ANKFY1	1	1	1
ANKH	0.661765	0.473282	0.736264
ANKHD1	0.994118	0.992366	1
ANKK1	0.335294	0.358779	0.417582
ANKLE2	0.261765	0.19084	0.32967
ANKMY1	0.217647	0.206107	0.131868
ANKMY2	1	1	1
ANKRA2	1	1	1
ANKRD1	0.241176	0.251908	0.197802
ANKRD10	1	1	1
ANKRD11	1	1	1
ANKRD12	1	1	1
ANKRD13A	1	1	1
ANKRD13B	0.841176	0.801527	0.791209
ANKRD13C	1	1	1
ANKRD13D	0.311765	0.412214	0.263736
ANKRD16	1	1	1
ANKRD17	1	1	1
ANKRD18A	0.558824	0.419847	0.593407
ANKRD19P	0.432353	0.51145	0.43956
ANKRD2	0.0970588	0.10687	0.0769231
ANKRD20A1	0.676471	0.717557	0.813187
ANKRD20A2	0.1	0.145038	0.142857
ANKRD20A4	0.141176	0.251908	0.153846
ANKRD22	0.979412	0.923664	1
ANKRD23	0.767647	0.778626	0.813187
ANKRD24	0.844118	0.89313	0.923077
ANKRD26	0.997059	1	1
ANKRD27	0.932353	0.916031	0.967033
ANKRD28	1	1	1
ANKRD29	0.911765	0.725191	0.967033
ANKRD30A	0.879412	0.770992	0.967033
ANKRD30B	0.673529	0.656489	0.813187
ANKRD30BP1	0.1	0.19084	0.0879121
ANKRD31	0.0735294	0.129771	0.010989
ANKRD32	0.997059	0.977099	1
ANKRD33	1	1	1
ANKRD33B	0.0441176	0.0992366	0.043956
ANKRD34A	0.879412	0.862595	0.923077
ANKRD34B	0.135294	0.19084	0.043956
ANKRD34C	0.617647	0.641221	0.505495
ANKRD35	1	0.977099	1
ANKRD36	0.120588	0.244275	0.142857
ANKRD36B	1	1	1
ANKRD37	1	1	1
ANKRD39	1	1	1
ANKRD40	0.908824	0.908397	0.978022
ANKRD42	0.129412	0.221374	0.10989
ANKRD44	0.126471	0.19084	0.153846
ANKRD46	1	1	1
ANKRD49	1	1	1
ANKRD50	1	1	1
ANKRD53	0.294118	0.381679	0.263736
ANKRD55	0.329412	0.412214	0.285714
ANKRD6	1	1	1
ANKRD60	0.485294	0.335878	0.615385
ANKRD62	0.102941	0.152672	0.10989
ANKRD7	0.517647	0.473282	0.648352
ANKRD9	1	1	1
ANKS1A	1	1	1
ANKS1B	0.802941	0.847328	0.857143
ANKS3	0.997059	0.992366	1
ANKS6	0.0529412	0.10687	0
ANKZF1	0.858824	0.908397	0.791209
ANLN	0.941176	0.961832	0.934066
ANO1	1	1	1
ANO1-AS2	0.144118	0.10687	0.120879
ANO10	1	1	1
ANO2	0.894118	0.885496	0.923077
ANO3	0.255882	0.229008	0.21978
ANO4	0.191176	0.175573	0.0549451
ANO5	0.15	0.145038	0.21978
ANO6	1	1	1
ANO7	0.0911765	0.0992366	0.175824
ANO8	1	1	1
ANO9	0.979412	0.938931	0.989011
ANP32A	0.573529	0.572519	0.78022
ANP32B	1	1	1
ANP32C	0.479412	0.59542	0.659341
ANP32D	0.0176471	0.00763359	0.032967
ANP32E	0.311765	0.145038	0.384615
ANPEP	0.997059	0.984733	1
ANTXR1	1	1	1
ANTXRL	0.0647059	0.0916031	0.032967
ANXA1	1	1	1
ANXA10	0.123529	0.10687	0.0879121
ANXA11	1	1	1
ANXA13	0.223529	0.137405	0.296703
ANXA2	1	1	1
ANXA2P1	1	1	1
ANXA2P3	0.994118	0.961832	1
ANXA2R	1	1	1
ANXA3	0.858824	0.610687	0.934066
ANXA4	0.826471	0.78626	0.945055
ANXA5	1	1	1
ANXA7	1	1	1
ANXA8	0.364706	0.396947	0.263736
ANXA8L2	0.664706	0.580153	0.659341
ANXA9	0.929412	0.854962	0.989011
AOC1	0.647059	0.458015	0.593407
AOC2	0.3	0.427481	0.164835
AOC3	0.270588	0.419847	0.175824
AOX1	0.917647	0.763359	0.989011
AOX2P	0.273529	0.305344	0.307692
AP1AR	0.741176	0.732824	0.901099
AP1B1	1	1	1
AP1G1	1	1	1
AP1G2	1	1	1
AP1M1	1	1	1
AP1M2	0.994118	0.984733	1
AP1S1	1	1	1
AP1S2	1	1	1
AP1S3	0.0441176	0.0610687	0.043956
AP2A1	0.973529	1	1
AP2A2	1	1	1
AP2B1	1	1	1
AP2M1	1	1	1
AP2S1	1	1	1
AP3B1	1	1	1
AP3B2	0.555882	0.465649	0.571429
AP3D1	1	1	1
AP3M1	1	1	1
AP3M2	1	1	1
AP3S1	0.408824	0.465649	0.395604
AP3S2	1	1	1
AP4B1	1	1	1
AP4E1	1	1	1
AP4M1	1	0.984733	1
AP4S1	0.997059	1	1
AP5M1	1	1	1
AP5S1	1	1	1
AP5Z1	0.994118	0.992366	1
APAF1	1	1	1
APBA1	0.0323529	0.0839695	0.021978
APBA2	0.2	0.198473	0.175824
APBA3	1	1	1
APBB1	0.132353	0.0610687	0.197802
APBB1IP	1	1	1
APBB3	1	1	1
APC	0.229412	0.198473	0.351648
APC2	0.205882	0.40458	0.186813
APCDD1	1	0.984733	1
APCDD1L	0.976471	0.900763	1
APCS	0.982353	0.977099	1
APEH	1	1	1
APEX1	1	1	1
APEX2	1	1	1
APH1A	1	1	1
APH1B	1	1	1
API5	1	1	1
APIP	1	1	1
APLN	0.897059	0.877863	0.978022
APLNR	1	1	1
APLP1	0.673529	0.603053	0.67033
APLP2	1	1	1
APMAP	1	1	1
APOA1	0.261765	0.251908	0.318681
APOA1BP	1	1	1
APOA2	0.361765	0.473282	0.32967
APOA4	0.0205882	0.0381679	0.021978
APOA5	0.0794118	0.122137	0.043956
APOB	0.176471	0.137405	0.252747
APOBEC1	0.123529	0.145038	0.0879121
APOBEC2	0.129412	0.167939	0.0989011
APOBEC3A	0.105882	0.122137	0.0769231
APOBEC3B	0.826471	0.801527	0.747253
APOBEC3C	0.976471	0.969466	0.989011
APOBEC3D	0.132353	0.122137	0.142857
APOBEC3F	0.991176	0.977099	1
APOBEC3G	1	0.984733	1
APOBEC3H	0.835294	0.816794	0.89011
APOBEC4	0.0617647	0.0610687	0.0879121
APOC1	1	1	1
APOC2	0.926471	0.946565	0.989011
APOC3	0.194118	0.244275	0.131868
APOC4	0.285294	0.320611	0.230769
APOD	1	1	1
APOE	1	1	1
APOH	0.0176471	0.0381679	0.010989
APOL1	0.75	0.679389	0.659341
APOL2	0.25	0.290076	0.208791
APOL3	0.0588235	0.0458015	0.0769231
APOL4	0.620588	0.381679	0.67033
